Date,Storage,Inflow_cms,Total_Release_cms,Spill_cms,Supply_cms,MeanPrecip_mm
1992-01-01,700,13.22,42.47,0,42.47,22.84294737
1992-02-01,618.93,10.18,43.07,0,43.07,23.16566384
1992-03-01,578.22,40.13,35.71,0,35.71,19.20700849
1992-04-01,593.5,33.83,27.37,0,27.37,14.72124958
1992-05-01,619.91,32.84,37.8,0,37.8,20.33113752
1992-06-01,530.86,10.28,67.58,0,67.58,36.17068591
1992-07-01,483.82,81.22,40.65,0,40.65,21.78150424
1992-08-01,608.91,85.01,23.66,0,23.66,12.67580985
1992-09-01,796.06,69.41,7.92,0,7.92,4.250770798
1992-10-01,930.64,19.28,7.43,0,7.43,3.996305603
1992-11-01,922.82,5.34,21.5,0,21.5,10.68942275
1992-12-01,855.88,8.52,39.76,0,39.76,20.97266214
1993-01-01,774.08,10.15,40.37,0,40.37,19.82418676
1993-02-01,703.41,27.75,37.22,0,37.22,18.89092699
1993-03-01,709.65,22.62,20.79,0,20.79,9.94029202
1993-04-01,700.06,24.88,39.48,0,39.48,19.24780985
1993-05-01,789.94,120.54,46.57,0,46.57,22.49863158
1993-06-01,862.88,46.59,60.91,0,60.91,29.69513413
1993-07-01,1027.39,215.94,71.53,0,71.53,35.01119185
1993-08-01,1529.86,395.72,277.86,57.39,220.47,111.5279457
1993-09-01,1450.63,51.26,102.64,0,102.64,51.88412564
1993-10-01,1376.23,10.82,44.73,0,44.73,22.97493718
1993-11-01,1309.08,13.2,30.76,0,30.76,15.77299491
1993-12-01,1250.46,11.07,45.56,0,45.56,22.84890662
1994-01-01,1125.63,9.78,65.91,0,65.91,34.23658744
1994-02-01,960.57,8.93,69.26,0,69.26,36.09294058
1994-03-01,846.12,12.29,46.01,0,46.01,23.59600679
1994-04-01,761.33,16.15,46.68,0,46.68,23.94955857
1994-05-01,701.75,42.29,55.77,0,55.77,28.85082852
1994-06-01,617.74,17.79,67.95,0,67.95,34.93628523
1994-07-01,699.52,95.99,77.24,0,77.24,39.80731409
1994-08-01,579.92,22.96,51.32,0,51.32,26.7799219
1994-09-01,507.81,10.38,38.34,0,38.34,20.15513752
1994-10-01,478.98,30.99,12.94,0,12.94,6.80014601
1994-11-01,519.4,12.05,11.43,0,11.43,5.997820034
1994-12-01,505.36,6.77,20.39,0,20.39,10.80720883
1995-01-01,457.92,3.89,22.93,0,22.93,12.17716129
1995-02-01,408.51,3.62,23,0,23,11.55982003
1995-03-01,385.54,17.77,12.65,0,12.65,6.624478778
1995-04-01,402.78,27.62,13.11,0,13.11,6.748468591
1995-05-01,435.99,14.61,16.9,0,16.9,8.39472326
1995-06-01,429.14,15.37,25.64,0,25.64,12.92828183
1995-07-01,431.73,57.66,14.59,0,14.59,7.527086587
1995-08-01,565.13,121.06,14.47,0,14.47,7.425439728
1995-09-01,889.31,35.1,7.55,0,7.55,3.654224109
1995-10-01,883.06,7.97,17.27,0,17.27,8.645979626
1995-11-01,853.14,4.92,18.87,0,18.87,9.502770798
1995-12-01,808.63,3.93,22.91,0,22.91,11.74009168
