Date,Storage,Inflow_cms,Total_Release_cms,Spill_cms,Supply_cms,MeanPrecip_mm
1989-01-01,143.07,7.58,0,0,0,4.35
1989-02-01,162.02,8.06,0,0,0,3.75
1989-03-01,211.11,20.31,4.33,0,4.33,2.6
1989-04-01,211.65,6.9,13.88,0,13.88,1.39
1989-05-01,187.19,1.73,8.91,0,8.91,1.58
1989-06-01,204.21,23.35,9.66,0,9.66,7.93
1989-07-01,301.86,135.35,12.97,0,12.97,21.06
1989-08-01,578.08,59.42,36.73,0,36.73,8.38
1989-09-01,627.42,65.01,63.75,0,63.75,7.73
1989-10-01,563.44,9.39,49.26,0,49.26,0.43
1989-11-01,463.06,11.21,47.61,0,47.61,1.85
1989-12-01,372.4,4.96,32.74,0,32.74,0.66
1990-01-01,324.83,3.2,15.2,0,15.2,1.57
1990-02-01,304.39,20.35,19.29,0,19.29,3.79
1990-03-01,296.71,12.72,21.91,0,21.91,2.6
1990-04-01,282.11,18.55,23.66,0,23.66,3.2
1990-05-01,276.61,18.8,23.7,0,23.7,4.43
1990-06-01,272.4,56.76,22.21,0,22.21,9.75
1990-07-01,419.69,75.89,32.79,0,32.79,11.73
1990-08-01,445.29,37.18,48.07,0,48.07,7.45
1990-09-01,477.12,51.39,38.35,0,38.35,7.03
1990-10-01,469.35,8.99,16.34,0,16.34,0.26
1990-11-01,446.06,7.54,16.6,0,16.6,1.66
1990-12-01,409.3,6.29,24.61,0,24.61,0.51
1991-01-01,356.25,3.84,21.75,0,21.75,0.83
1991-02-01,317.59,5.51,18.68,0,18.68,2.04
1991-03-01,301.11,16.76,16.66,0,16.66,3.41
1991-04-01,303.94,19.33,22.03,0,22.03,3.34
1991-05-01,278.39,3.67,19.94,0,19.94,1.5
1991-06-01,267.88,18.88,15.79,0,15.79,6.54
1991-07-01,341.21,66.47,14.48,0,14.48,13.38
1991-08-01,528.41,85.42,15.72,0,15.72,9.61
1991-09-01,607.76,28.72,24.46,0,24.46,4.64
1991-10-01,591.11,8.44,25.77,0,25.77,0.04
1991-11-01,539.53,4.68,25.97,0,25.97,0.25
1991-12-01,474.82,5.59,31.92,0,31.92,1.54
1992-01-01,409.67,4.12,29.9,0,29.9,0.4
1992-02-01,343.63,3.72,28.87,0,28.87,0.55
1992-03-01,286.32,7,25.04,0,25.04,2.12
1992-04-01,264.29,14.14,20.42,0,20.42,3.27
1992-05-01,234.18,3.82,18.98,0,18.98,1.66
1992-06-01,192.88,1.21,13.75,0,13.75,0.32
1992-07-01,182.64,17.37,10.51,0,10.51,6.53
1992-08-01,200.77,15.54,7.34,0,7.34,5.81
1992-09-01,236.02,30.16,6.14,0,6.14,7.08
1992-10-01,289.75,10.4,7.57,0,7.57,1.01
1992-11-01,278.37,3.27,14.45,0,14.45,0.22
1992-12-01,251.33,4.37,12.11,0,12.11,1.2
1993-01-01,234.42,4.13,10.45,0,10.45,0.84
1993-02-01,216.43,6.68,10.13,0,10.13,1.92
1993-03-01,222.2,8.65,5.15,0,5.15,1.69
1993-04-01,225.1,3.47,6.47,0,6.47,0.9
1993-05-01,240.36,16.83,5.08,0,5.08,4.92
1993-06-01,264.56,26.21,5.17,0,5.17,7.25
1993-07-01,372.4,52.12,5.24,0,5.24,8.26
1993-08-01,563.65,111.52,42.42,0,42.42,13.99
1993-09-01,599.87,22.54,30.7,0,30.7,3.46
1993-10-01,582.15,6.19,20.11,0,20.11,1.4
1993-11-01,554.78,11.1,19.9,0,19.9,2.46
1993-12-01,526,6.86,21.21,0,21.21,0.48
1994-01-01,441.9,6.17,54.98,0,54.98,0.74
1994-02-01,342.16,4.47,25.88,0,25.88,0.85
1994-03-01,299.71,5.83,19.52,0,19.52,1.18
1994-04-01,274.29,5.08,15.12,0,15.12,0.99
1994-05-01,258.45,10.9,9.38,0,9.38,3.94
1994-06-01,235.26,3.38,24.34,0,24.34,3.23
1994-07-01,195.26,1.9,9.69,0,9.69,0.44
1994-08-01,219.35,20.73,5.03,0,5.03,6.73
1994-09-01,223.64,1.98,8.42,0,8.42,0.22
1994-10-01,219.6,13.19,5.71,0,5.71,5.15
1994-11-01,235.75,4.6,4.05,0,4.05,0.85
1994-12-01,227.83,3.17,10.44,0,10.44,0.31
1995-01-01,203.32,2.61,12,0,12,1.31
1995-02-01,183.22,2.55,7.89,0,7.89,0.61
1995-03-01,173.03,6.41,6.68,0,6.68,1.83
1995-04-01,185.05,10.97,1,0,1,2.99
1995-05-01,203.98,3.57,2.84,0,2.84,1.66
1995-06-01,200.89,2.38,6,0,6,1.15
1995-07-01,193.66,14.09,7.26,0,7.26,5.83
1995-08-01,227.93,41.35,4.61,0,4.61,10.31
1995-09-01,346.61,17.61,4.83,0,4.83,1.47
1995-10-01,337.81,4.24,15,0,15,0.55
1995-11-01,310.85,2.73,11.33,0,11.33,0.27
1995-12-01,285.06,1.78,12.87,0,12.87,0
