Date,Storage,Inflow_cms,Total_Release_cms,Spill_cms,Supply_cms,MeanPrecip_mm
2000-01-01,38.38,13.66,12.26,0,12.26,0.68
2000-02-01,37.52,9.79,9.47,0,9.47,0.03
2000-03-01,36.08,9.1,8.53,0,8.53,0.85
2000-04-01,33.15,9.11,9.75,0,9.75,0.95
2000-05-01,25.15,6.05,7.61,0,7.61,1.49
2000-06-01,25.05,34.74,22.85,0,22.85,6.09
2000-07-01,81.09,272.45,261.02,51,210.02,14.66
2000-08-01,92.67,315.19,311.37,32.54,278.83,16.03
2000-09-01,109.54,353.18,330.48,41.26,289.22,11.66
2000-10-01,133.45,31.65,57.37,11.65,45.72,1.1
2000-11-01,34.31,25.69,40.54,0,40.54,2.09
2000-12-01,23.1,16.97,22.46,0,22.46,0.15
2001-01-01,23.77,11.71,6.46,0,6.46,2.06
2001-02-01,32.34,26.91,14.87,0,14.87,2.95
2001-03-01,63.77,36.72,47.62,0,47.62,0.55
2001-04-01,26.26,9.06,10.72,0,10.72,1.54
2001-05-01,36.64,15.59,8.65,0,8.65,2.05
2001-06-01,59.91,182.77,159.24,13.46,145.78,12.43
2001-07-01,111.57,232.21,241.25,11.72,229.53,10.55
2001-08-01,54.29,42.17,58.36,0,58.36,2.89
2001-09-01,43.65,18.41,15.96,0,15.96,2.98
2001-10-01,59.1,23.88,13.05,0.14,12.91,3.2
2001-11-01,76.29,12.26,9.66,0.19,9.47,0.44
2001-12-01,84.81,13.57,10.1,0,10.1,1.19
2002-01-01,97.43,21.69,10.29,0,10.29,2.09
2002-02-01,116.65,11.34,14.18,0,14.18,0.38
2002-03-01,102.12,17.82,21.65,0,21.65,2.14
2002-04-01,108.7,35.8,32.76,0,32.76,3.63
2002-05-01,149.93,77.15,69.62,0,69.62,4.48
2002-06-01,66.35,16.73,50.5,0,50.5,3.1
2002-07-01,92.26,191.68,173,0,173,10.55
2002-08-01,133.06,680.25,608.49,9.76,598.73,27.94
2002-09-01,159.49,247.99,303.75,12.67,291.08,3.83
2002-10-01,118.02,24.08,32.91,0,32.91,1.25
2002-11-01,117.62,16.2,15.79,0,15.79,0.63
2002-12-01,127.33,18.56,13.75,1.79,11.96,1.56
2003-01-01,122.25,10.65,15.6,0,15.6,1.19
2003-02-01,114.67,22.2,21.59,0,21.59,2.53
2003-03-01,103.67,33.78,48.31,0,48.31,1.87
2003-04-01,102.25,100.19,59.8,5.99,53.81,7.25
2003-05-01,96.09,174.76,193.05,30.65,162.4,8.81
2003-06-01,59.8,126.42,158.77,10.88,147.89,6.6
2003-07-01,81.27,515.11,505.06,67.59,437.47,19.73
2003-08-01,74.28,186.11,187.41,8.79,178.62,9.68
2003-09-01,106.62,342.1,337.37,12.71,324.66,11
2003-10-01,94.89,22.31,17.77,0,17.77,0.57
2003-11-01,100.97,16.78,13.22,0,13.22,1.69
2003-12-01,110.97,14.53,13.62,0,13.62,0.48
2004-01-01,103.93,9.15,14.14,0,14.14,0.12
2004-02-01,94.72,18.9,14.63,0,14.63,2.24
2004-03-01,92.34,15.4,26,0,26,1.24
2004-04-01,76.64,24.7,24.79,0,24.79,3.36
2004-05-01,80.8,46.48,47.01,0,47.01,4.88
2004-06-01,74.34,133.38,133.92,30.81,103.11,9.01
2004-07-01,94.02,207.53,205.04,96.73,108.31,9.97
2004-08-01,86.58,328.01,330.2,63.11,267.09,16.25
2004-09-01,133.48,177.31,145.58,61.03,84.55,9.17
2004-10-01,138.81,23.89,37.5,0,37.5,0.17
2004-11-01,134.26,22.79,15.49,1.61,13.88,2.99
2004-12-01,146.11,16.8,15.69,0,15.69,0.91
2005-01-01,136.48,9.65,15.73,0,15.73,0.32
2005-02-01,120.22,14.13,19.65,0,19.65,1.52
2005-03-01,103.85,24.81,25.52,0,25.52,2.41
2005-04-01,120.38,41.53,40.41,0.06,40.35,2.91
2005-05-01,91.3,21.79,36.28,0,36.28,2.4
2005-06-01,68.99,25.82,33.71,0,33.71,4.86
2005-07-01,94.61,185.67,181.68,32.81,148.87,10.81
2005-08-01,100.44,195.56,178.14,54.97,123.17,10.64
2005-09-01,75.69,37.52,50.64,10.47,40.17,2.57
2005-10-01,75.16,15.75,19.02,0,19.02,0.34
2005-11-01,66.91,11.01,14.25,0,14.25,1.02
2005-12-01,58.1,8.42,11.96,0,11.96,0.2
2006-01-01,52.76,8.15,8.22,0,8.22,1.07
2006-02-01,54.72,11.14,9.02,0,9.02,1.47
2006-03-01,58.75,8.71,9.05,0,9.05,0.39
2006-04-01,84.23,30.62,16.68,0,16.68,3.72
2006-05-01,140.05,84.47,78.18,17.89,60.29,6.84
2006-06-01,85.16,71.49,82.84,0,82.84,6.19
2006-07-01,98.2,629.51,625.55,29.77,595.78,21.53
2006-08-01,85.22,60.95,50.41,0,50.41,5.21
2006-09-01,100.19,34.47,45.21,5.39,39.82,2.28
2006-10-01,90.76,12.95,13.97,0,13.97,0.81
2006-11-01,82.79,9.7,13.91,0,13.91,1.02
2006-12-01,75.69,10.54,12.9,0,12.9,0.62
2007-01-01,69.36,7.75,9.83,0,9.83,0.22
2007-02-01,70.7,16.04,11.1,0,11.1,2.14
2007-03-01,86.42,38.52,38.82,0,38.82,3.59
2007-04-01,82.87,15.86,13.02,0,13.02,1.35
2007-05-01,77.26,15.44,20.07,0,20.07,2.67
2007-06-01,47.67,11.49,22.78,0,22.78,2.37
2007-07-01,71.44,79.06,74.8,10.69,64.11,6.87
2007-08-01,125.42,329.43,293.14,22.37,270.77,16.23
2007-09-01,173.54,613.09,611.64,77.88,533.76,19.74
2007-10-01,154.65,39.57,39.02,0,39.02,2.27
2007-11-01,163.22,15.21,11.19,0,11.19,0.04
2007-12-01,170.1,13.16,11.04,0,11.04,1.11
2008-01-01,172.1,17.82,18.58,0,18.58,1.68
2008-02-01,156.48,10.61,22.28,0,22.28,0.22
2008-03-01,116.27,11.66,26.02,0,26.02,1.31
2008-04-01,107.64,23.74,25.39,0.19,25.2,2.15
2008-05-01,69.11,14.42,29.11,0,29.11,3.07
2008-06-01,82.14,115.25,78.51,18.78,59.73,9.33
